clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
17701,Klinikum Landkreis Erding,Erding,Landkreis Erding,Landkreis Erding,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,288,12,CHI|GUG|HNO|INN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinikum-erding.de,https://karriere.klinikum-erding.de/,mein-check-in
17702,Klinikum Landkreis Erding -Außenstelle Dorfen-,Dorfen,Landkreis Erding,Landkreis Erding,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,42,0,INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.klinikum-erding.de,https://karriere.klinikum-erding.de/,mein-check-in
17704,kbo-Isar-Amper-Klinikum Taufkirchen (Vils),Taufkirchen (Vils),kbo-Isar-Amper-Klinikum gGmbH,Landkreis Erding,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,212,5,PSO|PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-iak.de,https://kbo-iak.de/kbo-karriere/stellenangebote-pflege,umantis
17705,Klinik Wartenberg,Wartenberg,Klinik Wartenberg Prof. Dr. Selmair GmbH & Co.KG,Landkreis Erding,Oberbayern,Plan-KH,Fachkrankenhaus,privat,55,0,INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinik-wartenberg.de,https://www.klinik-familie.de/,mein-check-in
17706,kbo-Isar-Amper-Klinikum Tagesklinik für PSY am Klinikum Erding,Erding,kbo-Isar-Amper-Klinikum gGmbH,Landkreis Erding,Oberbayern,Bedarfsfeststellung,-,oeffentlich,0,0,,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
17801,Klinikum Freising,Freising,Klinikum Freising GmbH,Landkreis Freising,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,335,10,CHI|GUG|HNO|INN|PSO|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.klinikum-freising.de,https://www.klinikum-freising.de/karriere/stellenangebote.php,mein-check-in
17803,kbo-Isar-Amper-Klinikum Freising,Freising,kbo-Isar-Amper-Klinikum gGmbH,Landkreis Freising,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,20,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-iak.de,https://kbo-iak.de/kbo-karriere/stellenangebote-pflege,umantis
17901,Klinikum Fürstenfeldbruck,Fürstenfeldbruck,"Kreisklinik Fürstenfeldbruck/ Seniorenheim Jesenwang, AöR",Landkreis Fürstenfeldbruck,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,380,0,CHI|GUG|HNO|INN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinikum-ffb.de,https://www.klinikum-ffb.de/ausbildung-karriere/stellenangebote/,oracle
17902,kbo-Isar-Amper-Klinikum Fürstenfeldbruck,Fürstenfeldbruck,kbo-Isar-Amper-Klinikum gGmbH,Landkreis Fürstenfeldbruc k,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,88,31,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://kbo-iak.de,https://kbo-iak.de/kbo-karriere/stellenangebote-pflege,umantis
18001,Klinikum Garmisch-Partenkirchen,Garmisch-Partenkirchen,Klinikum Garmisch-Partenkirchen GmbH,Landkreis Garmisch-Partenkirchen,Oberbayern,Plan-KH,Schwerpunkt (II),oeffentlich,415,0,AUG|CHI|GUG|HNO|INN|KIN|STR|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinikum-gap.de,https://karriere.klinikum-gap.de/jobs,bite_jobs
