clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
RH1854,Fachklinik Hirtenstein,Bolsterlang,Deutscher Orden Deutsche Provinz der Brüder vom Deutschen Haus St. Mariens in Jerusalem KdöR,Oberallgäu,Schwaben,Reha-Einrichtung,,freigemeinnuetzig,74,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.suchthilfe-allgaeu.de,,
RH2617,Medical Park Bad Feilnbach Betriebs GmbH & Co. KG Reithofpark,Bad Feilnbach,Reithofpark-Klinik GmbH & Co. KG,Rosenheim,Oberbayern,Reha-Einrichtung,,privat,248,,"Orthopädie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.reithofpark.medicalpark.de,,
RH2095,Kurhotel Josef Holzapfel GmbH „Zum Thermalbad“,Bad Füssing,Kurhotel Josef Holzapfel GmbH „Zum Thermalbad“,Passau,Niederbayern,Reha-Einrichtung,,privat,80,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.hotel-holzapfel.de,,
RH1448,Klinik Hohes Licht gemeinnützige GmbH Prävention und Rehabilitation für Frauen,Oberstdorf,Klinik Hohes Licht gemeinnützige GmbH im FrauenWerk Stein,Oberallgäu,Schwaben,Reha-Einrichtung,,freigemeinnuetzig,51,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-hoheslicht-oberstdorf.de,,
RH1887,Oberberg Fachklinik Scheidegg im Allgäu,Scheidegg,Oberberg Klinik Scheidegg GmbH,Lindau (Bodensee),Schwaben,Reha-Einrichtung,,privat,55,,Psychosomatik/Psychotherapie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.oberbergkliniken.de,,
RH1970,PARITÄTISCHE Haus am Kurpark gGmbH,Bad Königshofen,PARITÄTISCHE Haus am Kurpark gGmbH,Rhön-Grabfeld,Unterfranken,Reha-Einrichtung,,freigemeinnuetzig,100,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.hausamkurpark.de,,
RH2991,Kursanatorium Landhaus König GmbH,Grünenbach,Kursanatorium Landhaus König GmbH,Lindau (Bodensee),Schwaben,Reha-Einrichtung,,privat,32,,Keine Zuordnung zu spezifischem Fachgebiet,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.mayr-kur.de,,
RH1334,Kurhaus Ihlingshof Oberreute/Allgäu,Oberreute/Allgäu,Reinhold Schwärzler,Lindau (Bodensee),Schwaben,Reha-Einrichtung,,privat,3,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.ihlingshof.com,,
RH2980,m&i-Fachklinik Bad Heilbrunn Medizinische Rehabilitation,Bad Heilbrunn,m&i-Klinikbetriebsgesellschaft GmbH,Bad Tölz-Wolfratshausen,Oberbayern,Reha-Einrichtung,,privat,360,,"Kardiologie, Nephrologie, Orthopädie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-bad-heilbrunn.de,,
RH2079,Asklepios Klinik Schaufling GmbH,Schaufling,Asklepios Klinik Schaufling GmbH,Deggendorf,Niederbayern,Reha-Einrichtung,,privat,350,,"Kardiologie, Orthopädie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.asklepios.com/schaufling,,
RH2733,Passauer Wolf Bad Gögging GmbH & Co. KG - Rehabilitation,Neustadt a. d. Donau,Passauer Wolf Bad Gögging GmbH & Co. KG,Kelheim,Niederbayern,Reha-Einrichtung,,privat,477,,"Geriatrie, Orthopädie, Hals-, Nasen-, Ohrenheilkunde, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.reha-zentrum-bad-goegging.de,,
